Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Form_Factor,Connectivity_Type
"boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Aqua Blue)","₹3,990","1,999",boAt,Rockerz 450 Pro,Aqua Blue,On Ear,Wireless
Jabra Evolve 65 MS Stereo & Link 360 Bluetooth Wireless Over Ear Headphones with mic Black,"₹38,500","23,090",Jabra,Jabra Evolve 65 MS Stereo & Link 360,Black,Over Ear,Wireless
"Jabra Talk 25 SE Mono Bluetooth Headset – Wireless Single Ear Headset with Built-in Microphone, Media Streaming, up to 9 Hours Talk Time, Black","₹15,596","10,196",Jabra,Talk 25 SE,Black,On Ear,Wireless
"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging, Voice Assistant, IPX4 & in-line Controls (Black & Blue)","₹1,899",549,PTron,Tangent,Black & Blue,In Ear,Bluetooth 5.2
"Meyaar SPN Headphone Heavy Bass Stereo Earphones Earbuds with Remote & Microphone, Laptops,Gaming Noise Isolating Tangle Free Headsets in Ear Headset (White)",₹999,108,Meyaar,,Metal White,In Ear,Wired
"Boult Audio AirBass Propods X Bluetooth Truly Wireless in Ear Earbuds, 32H Playtime, Fast Charging Type-C, IPX5 Water Resistant, Touch Controls and Voice Assistant (Red)","₹5,999","1,299",Boult Audio,AirBass,Red,In Ear,Wireless
"Jabra Biz 1100 Duo, QD, NC, APAC",,"6,770",Jabra,,black,On Ear,Wired
"Meyaar Beex Wired Durable Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for Cell Phones, Laptop, Tablet, (Black) (Metal Black)",₹799,99,Meyaar,,Metal Black,In Ear,wired usb
Skullcandy Indy Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"₹12,999","6,499",Skullcandy,Indy Evo,Black,In Ear,Wireless
"pTron Pride Lite HBE (High Bass Earphones) in Ear Wired Earphones with Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux (Grey)",₹899,229,PTron,Pride Lite,Gray,In Ear,Wired
"Skullcandy Dime True Wireless in-Ear Bluetooth Earbuds Compatible with iPhone and Android/Charging Case and Microphone/Great for Gym, Sports, and Gaming, IPX4 Water Dust Resistant - Black","₹7,499","2,699",Skullcandy,Dime,True Black,In Ear,Wireless
"Jabra Elite 4 Active in-Ear Bluetooth Earbuds - True Wireless Ear Buds with Secure Active Fit, 4 Built-in Microphones, Active Noise Cancellation and Adjustable HearThrough Technology with mic - Black","₹10,999","7,999",Jabra,Elite 4 Active,Black,nan,nan
"Noise Newly Launched Bravo Bluetooth in Ear Neckband with Upto 35 Hours of Playtime, Instacharge (10-min Charge=10-hrs Playtime), ESR,10mm Driver, Dual Pairing and BT v5.2 (Jet Black)","₹2,799",999,Noise,Bravo,Jet Black,In Ear,Wireless
"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx Tech, Beast Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Carbon Black)","₹2,990","1,399",boAt,Airdopes 181,Carbon Black,In Ear,Bluetooth 5.2
"pTron Bassbuds Pixel with Dedicated Movie/Gaming Mode, 50ms Low Latency, 35Hrs Total Playback Time, Truly Wireless Bluetooth 5.1 in Ear Earbuds with mic, Punchy Bass, Touch Control (White)","₹3,499",799,PTron,Bassbuds Pixel,White,nan,nan
"Noise Air Buds+ in-Ear Truly Wireless Earbuds with Instacharge & Hypersync Technology, Silicone tip, Superb Calling & 20 Hour Playtime with Mic - Pearl White","₹5,999","1,599",Noise,Air Buds+,Pearl White,In Ear,Wireless
Skullcandy Inkd Plus Active Wireless in-Earphone with Mic (Black/Gray),"₹5,999","3,899",Skullcandy,Ink'd Plus Active,Black,In Ear,Wireless
Jabra Talk 25 Wireless Bluetooth On Ear Headset with Mic (Black),"₹7,999","3,200",Jabra,Jabra talk 25,Black,nan,nan
"Zebronics Zeb-Corolla In Ear Wired Earphone with Mic, 3.5mm Jack, 1.2 Meter Cable, Multi Function Button",₹399,389,ZEBRONICS,Zeb-Corolla,Black,In Ear,Wired
Boult Audio Newly Launched Bassbuds Loop 2 Wired in Ear Earphones with Mic with 12Mm Powerful Driver for Extra Bass with Customizable Ear Loop (Black),₹999,349,Boult Audio,Loop,Black,In Ear,Wired
(Renewed) boAt Rockerz 375 Wireless Bluetooth in Ear Neckband Headphone with Mic (Active Black),,,boAt,Rockerz 375,Active Black,In Ear,Wireless
"Jabra Evolve 80 UC Wired Headset Professional Telephone Headphones with Unrivalled Noise Cancellation for Calls and Music, Features World-Class Speakers and All Day Comfort",,"7,200",Jabra,Evolve 80 UC,Black,Over Ear,Wired
Jabra Evolve 40 MS Wired Bluetooth On Ear Headphone with Mic (Black),"₹15,066","10,450",Jabra,Jabra EVOLVE 40 MS Stereo wired USB headset,Black,On Ear,USB
"Meyaar 2 Pack SP-27 Wired in-Ear Earphone with Mic, Made in India Earphones (Black + White)",₹999,249,Meyaar,SP-27(White + Black),White + Black,In Ear,Wired
"boAt Airdopes 413ANC True Wireless in Ear Earbuds with Hybrid ANC, 2 Mics ENx Tech, Signature Sound, Touch Gesture, 20 Hours Playback, ASAP Charge & Ambient Mode (Carbon Black) & Call Smart Watch",,,boAt,,Carbon Black,In Ear,Wireless
"Jabra Evolve 20SE MS Stereo, Professional Wired Headset","₹7,156","5,400",Jabra,,black,On Ear,Wired
Skullcandy Sesh Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"₹9,999","4,199",Skullcandy,Sesh Evo,Black,In Ear,Wireless
Skullcandy Cassette S5CSW-M448 Wireless Bluetooth On Ear Headphone with Mic (Chill Gray),"₹7,999","2,899",Skullcandy,Cassette,Chill Gray,On Ear,Wireless
Skullcandy Spoke Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),"₹3,500","1,698",Skullcandy,Spoke Earbuds,Black,In Ear,Bluetooth
"Jabra Elite 75t Earbuds – True Wireless Earbuds with Charging Case, Titanium Black – Active Noise Cancelling Bluetooth Earbuds with a Comfortable, Secure Fit, Long Battery Life, Great Sound","₹47,742","27,298",Jabra,Elite 7 Pro,Gold Beige,In Ear,Bluetooth
Skullcandy Cassette Wireless On-Ear Headphone with Mic (Black),"₹3,999","2,699",Skullcandy,Cassette BT,Black,On Ear,Bluetooth
"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","₹3,195","2,490",Logitech,l1,Black,Over Ear,Wired
"boAt Airdopes 113 Bluetooth Truly Wireless in Ear Earbuds with ENx Tech, Beast Mode, ASAP Charge, 24H Playtime, Immersive Audio, IPX4, IWP, Touch Controls, Lightweight Build(Space Black)","₹2,990","1,249",boAt,Airdopes 113,Space Black,In Ear,Bluetooth
Skullcandy Sesh Bluetooth Truly Wireless in Ear Earbuds with Mic (Black),,"1,698",Skullcandy,Sesh,Black,In Ear,Wireless
"(Renewed) boAt Rockerz 550 Over-Ear Wireless Headphone with Ergonomic Aesthetics, Plush Padded Earcups, Immersive Audio, Bluetooth v5.0 & Upto 20H Playback(Maroon Maverick)",,,boAt,Rockerz 550,Maroon Maverick,Over Ear,Wireless
"boAt Newly Launched Rockerz 378 Bluetooth Neckband with Spatial Bionic Sound Tuned by THX, Beast™ Mode, ASAP™ Charge, Signature Sound, 25 Hours Playtime & BT v5.1(Midnight Blue)","₹5,990","1,299",boAt,Rockerz 378,Midnight Blue,In Ear,Bluetooth
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",₹999,599,JBL,C100SI,Black,In Ear,Wired
"Noise Tune Active Pro Wireless in Ear Neckband with Upto 60 Hours of Playtime, ESR, Dual Pairing, Low Latency, Instacharge, 10mm Driver, and Bluetooth v5.2(Burgundy Red)","₹2,999","1,269",Noise,Tune Active Pro,Burgundy Red,In Ear,Wireless
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, BeastMode & Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playback, IPX5 and Integrated Controls (Red)",,,boAt,,Red,In Ear,Wireless
ZEBRONICS Thunder Wireless Bluetooth Over the Ear Headset with Mic (Red),"₹1,199","1,125",ZEBRONICS,,Red,Over Ear,Wireless
Boult Audio Airbass Monopod Bluetooth Truly Wireless in Ear Earbuds with Mic Black,"₹2,655",599,Boult Audio,Monopod wireless,Black,In Ear,Wireless
Meyaar M-11 Noise Isolating Wired in-Ear Headphones Earphones with Pure Sound and Powerful Bass with Mic (Mint Green),,219,Meyaar,M-11,Dark Pink,In Ear,Wired
"Skullcandy Indy ANC True Wireless in-Ear Bluetooth Earbuds, Active Noise Cancellation, Compatible with iPhone and Android, Charging Case and Mic, Best for Gym, Sports, and Gaming - Chill Gray","₹14,999","9,599",Skullcandy,Indy ANC,Chill Gray,In Ear,Wireless
"ZEBRONICS Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(Red)",₹499,199,ZEBRONICS,Zeb-Buds 30 (Red),Red,In Ear,Wired
boAt Rockerz 261 in Ear Wireless Earphones with mic(Jazzy Blue),"₹4,990","1,199",boAt,Rockerz,Jazzy Blue,In Ear,Wireless
"Meyaar SP Durable Designed Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Ear Buds for Cell Phones, Tablet for All Smartphones (Metal Black)",₹999,129,Meyaar,,Metal Black,In Ear,wired usb
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dual Pairing, IPX5, with Mic (Navy Blue)","₹2,990","1,799",boAt,Rockerz 330 Pro,Navy Blue,In Ear,Bluetooth 5.2
Skullcandy Indy Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Deep Red),"₹12,999","5,999",Skullcandy,Indy Evo,Deep Red,In Ear,Wireless
"pTron Tangent Lite Bluetooth 5.0 Wireless in Ear Earphones with mic, Hi-Fi Stereo Sound, 8Hrs Playtime, Lightweight Snug-fit, IPX4 Water Resistant, Fast Charge, Voice Assistant (Black/Green)","₹1,800",649,PTron,Tangent,Black & Green,In Ear,"Wireless, Bluetooth 5.0"
Meyaar SP-27 Wired in-Ear Earphone with Mic (Pack of 3 White),₹999,349,Meyaar,SP-27,Pack Of 3 White,In Ear,Wired
"boAt Airdopes 121V2 Bluetooth Truly Wireless in Ear Earbuds with Mic & Stone 170 5W Bluetooth Speaker with Upto 6 Hours Playback, TWS Feature, IPX6, Multifunction Buttons and SD Card Slot",,,boAt,,"Blue, Black",In Ear,Wireless
"Boult Audio Powerbuds True Wireless in Ear Earbuds with 120H Playtime, in-Built Powerbank, Type-C Fast Charging, Made in India, Pro+ Calling HD Mic, IPX7 Waterproof, Bluetooth Ear Buds TWS (Black)","₹8,999","1,499",Boult Audio,AirBass,Black,In Ear,Wireless
Meyaar R-Plus 2208 Edition Deep Bass Wired Durable Metal Earphones Headphones with Microphone in Ear Earbuds Noise Isolating Earphones Remote & Mic Headset Stereo Headphones for Android & iOS (Black),₹999,89,Meyaar,,Black,In Ear,wired usb
boAt BassHeads 182 Wired Earphone with Mic (Blue),"₹1,290",799,boAt,BassHeads,Blue,In Ear,Wired
"Noise Buds VS204 Truly Wireless in Ear Earbuds with 50H of Playtime, ESR, Instacharge(10 min= 120 min), Hyper Sync,10mm Driver, BT v5.3 (Mint Green)","₹3,999","1,599",Noise,Buds VS204,Mint Green,In Ear,Wireless
Skullcandy Crusher Wireless Over-Ear Headphone with Mic (Moss/Olive/Yellow),"₹12,999","9,499",Skullcandy,Crusher BT,Moss/Olive/Yellow,Over Ear,Wireless
"Skullcandy Sesh Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Chill Grey, Black)","₹11,999","4,199",Skullcandy,Sesh Evo,Chill Grey,In Ear,Wireless
"pTron Bassbuds Eon Truly Wireless in Ear Earbuds with Mic,ENC, 13mm Driver, Immersive Sound, BT 5.3, Quick Pairing, Touch Control, Fast Charging & Upto 30Hrs Playtime, IPX4 & Voice Asst (Grey/Black)","₹3,199","1,099",PTron,Bassbuds Eon,Grey & Black,nan,nan
Skullcandy Jib Wireless in-Ear Earphones with Mic (Red/Black),"₹2,999","2,899",Skullcandy,Jib,Red,In Ear,Wireless
"Jabra Evolve2 75 PC Wireless Headset with 8-Microphone Technology - Dual Foam Stereo Headphones with Advanced Active Noise Cancelling, USB-A Bluetooth Adapter and MS Teams-Compatibility - Black","₹55,800","45,000",Jabra,Evolve2 75,Black,On Ear,Bluetooth
ZEBRONICS Zeb- Sound Bomb 2 Truly Wireless Bluetooth in Ear Earbuds with Mic (Red),"₹2,499","1,199",ZEBRONICS,SOUND BOMB 2,RED,In Ear,Wireless
"Meyaar M12 Earphones Wired Headphones with Immersive Audio, Multi-Function Button, Earphones with in-line Microphone & Perfect Length Tangle Free Cable Pro Earbuds Headset (White)",₹999,249,Meyaar,,White,In Ear,wired usb
Skullcandy Cassette Wireless On-Ear Headphone with Mic (Retro/Surf/Purple),"₹3,999","2,999",Skullcandy,Cassette BT,Purple,On Ear,Wireless
Skullcandy Jib+ Wireless in-Ear Earbuds -Yellow,"₹2,499","1,699",Skullcandy,Jib Plus,Electric Yellow,In Ear,Wireless
"Meyaar SP-27 Earbuds Headphones with Microphone Pack of 2, Earbuds Wired Stereo Earphones in-Ear Headphone with Free Speaker and Headphone Splitter, Standard (Black, White) (Limited Deal)",₹999,349,Meyaar,,Black,In Ear,wired usb
"Jabra Evolve2 40 UC Wired Headphones, USB-C, Stereo, Black – Telework Headset for Calls and Music, Enhanced All-Day Comfort, Passive Noise Cancelling Headphones, UC-Optimized with USB-C Connection","₹23,200","10,000",Jabra,Evolve2 40,Black,On Ear,Wired
"Skullcandy Sesh Evo True Wireless Earbuds with 24 Hours Total Battery+Rapid Charge, IP55 Sweat, Water and Dust Resistant, Solo Bud and Tile Tracking (Bleached Blue)","₹11,999","4,199",Skullcandy,Sesh Evo,Bleached Blue,In Ear,Wireless
Jabra Evolve 30 II Stero On Ear Wired Headphone with Mic (Black),"₹12,500","8,850",Jabra,,Black,nan,nan
"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging, Voice Assistant, IPX4 & in-line Controls (Black & Green)","₹1,899",549,PTron,Tangent,Black & Green,In Ear,Wireless
"boAt Rockerz 330ANC Bluetooth in Ear Neckband with Mic, Crystal Bionic Sound Powered by Dirac Opteo, Active Noise Cancellation, 13mm Drivers, ASAP Charge, 24H Playback & ENx Tech(Oceanic Blue).","₹4,999","1,999",boAt,Rockerz 330ANC,Oceanic Blue,In Ear,Wireless
"boAt Airdopes 393ANC True Wireless in Ear Earbuds with 32dB Hybrid ANC, Quad Mics with ENx™ Tech, 30 Hours Playback, Beast™ Mode,ASAP™ Charge,Ambient Mode,Bluetooth v5.2 IWP™,IPX5(Rogue Black)","₹4,990","3,069",boAt,Airdopes 393ANC,Rogue Black,In Ear,Bluetooth
Jabra BIZ 1500 Mono - Professional UC Wired Headset,"₹14,180","9,923",Jabra,BIZ 1500 Mono,Mono Speaker,nan,nan
Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | Total 14-Hour Playtime | Full Touch Control | with Mic | IPX5 Water Resistance and Bluetooth v5.1 (Charcoal Black),"₹2,999","1,299",Noise,Buds VS201 V2,Charcoal Black,In Ear,Wireless
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (Black)","₹3,299",699,PTron,Bassbuds,Black,In Ear,Bluetooth 5.1
"boAt Rockerz 255F Sports Wireless in Ear Earphones with Mic, Super Extra Bass, IPX5 Water & Sweat Resistance and Up to 6H Playback(Raging Red)","₹2,990","1,299",boAt,Rockerz 255F,Raging Red,In Ear,Bluetooth
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",₹999,599,JBL,C100SI,Black,In Ear,Wired
"Meyaar SPN High Bass Metal Earphones Earbuds with Microphone & Deep Bass Clear Sound Noise Isolating in Ear Headphones, Stereo Ear Buds for All Smartphones with 3.5mm Jack,Tablet (Metal White)",₹799,119,Meyaar,,Metal White,In Ear,wired usb
"Wings Phantom 500 in Ear Earphones Wireless Earbuds with LED Battery Indicator, 40ms Low Latency, Bluetooth 5.1, 30 Hours Playtime, ENC, 10mm Speaker Size, with Mic (Black TWS)","₹4,999","1,299",Wings,Phantom 500,Black,nan,nan
"boAt Rockerz 330 Pro in-Ear Bluetooth Neckband with 60HRS Playtime, ASAP Charge, ENx Tech, Signature Sound, BT v5.2, Dual Pairing, IPX5, with Mic (Blazing Yellow)","₹2,990","1,799",boAt,Rockerz 330 Pro,Blazing Yellow,In Ear,Bluetooth 5.2
(Renewed) boAt Airdopes 121v2 Truly Wireless Bluetooth In Ear Earbuds with Mic (Active Black),,,boAt,121v2,Black,In Ear,Black; Black
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound (Royal Blue) & Wave Call Smart Watch, Smart Talk (Active Black) & Bassheads 242 in Ear Wired Earphones with Mic(Active Black)",,,boAt,,Royal Blue,In Ear,"Wireless, Wired"
"Wings Phantom 800 Best Low Latency 40ms Earbuds, Bluetooth Wireless Headphones, Gaming Case, LED Lights, 50 Hours Playtime, in-Ear Airpods with Mic, Touch Controls TWS Headset","₹2,999","1,399",Wings,Phantom 800,Black,nan,nan
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback & Stone 135 Portable Wireless Speaker with 5W RMS Immersive Sound, IPX4 Water Resistance, True Wireless Feature",,,boAt,,,In Ear,Wireless
"Jabra Elite 7 Pro Bluetooth Truly Wireless in Ear Earbuds with Mic with Active Noise Cancellation, Compact Design, Multisensor Voice Tech & Multipoint Connectivity for Clear Calls - Gold Beige","₹18,999","17,999",Jabra,Elite 7 Pro - GB,Gold Beige,nan,nan
"ZEBRONICS Jumbo with 160 H* Playback, ENC, Gaming Mode (Up to 50ms), Fast Charging 10min = 15H*, 1000mAh Built-in Battery, Dual Pairing, Voice Assistant, BT v5.2, Bluetooth Wireless Neckband (Black)","₹4,199","1,299",ZEBRONICS,ZEB-YOGA 1 (Black),Black,In Ear,Wireless
"Jabra Elite 4 Active in Ear Bluetooth Earbuds Truly Wireless with mic, Secure Active Fit, Active Noise Cancellation and Adjustable HearThrough Technology - Navy","₹10,999","7,621",Jabra,Elite 4 Active,Navy,nan,nan
"pTron Tangent Pro ENC Bluetooth 5.2 In Ear Earphone with Mic, 20Hrs Playtime, Clear Calls Neckband, Low Latency Gaming/Music, HD Sound, Magnetic On/Off, Type-C Fast Charging, IPX4 & Voice Asst (Black)","₹2,399",699,PTron,Tangent Pro,Black,In Ear,Wireless
Meyaar M-11 High Bass Wired in-Ear Earphone with Mic ((Pack of 2) Pink + Grey),₹999,279,Meyaar,M-11_(Pink + Black + Grey),(Pack of 2) Pink + Grey,In Ear,Wired
"ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Green)",₹449,199,ZEBRONICS,ZEB BRO PRO (Green),Green,In Ear,Wired
"Jabra Elite 4 Active in-Ear Bluetooth Earbuds – True Wireless Earbuds with Secure Active Fit, 4 Built-in Microphones, Active Noise Cancellation and Adjustable HearThrough Technology – Black","₹16,980","15,980",Jabra,Elite 4 Active,Black,In Ear,Wireless
boAt Rockerz 375 Bluetooth Wireless in Ear Earphones with Mic (Bold Blue),"₹3,990","1,749",boAt,Rockerz 375,Bold Blue,In Ear,Wireless
"Portronics Conch 80 in Ear Wired Earphones with Mic, 10mm Dynamic Drivers, Extra Bass, Magnetic Latch, Nylon Braided Wire(Red)",₹599,318,Portronics,Conch 80,Red,In Ear,Wired
"pTron Bassbuds B21 Bluetooth 5.2 Truly Wireless in Ear Earbuds with mic, Immersive Sound, Stereo Calls, 24Hrs Playtime, Lightweight, Touch Control, Voice Assistance & IPX4 (Black)","₹2,599",789,PTron,Bassbuds B21,Black,nan,nan
"(Renewed) boAt 103 Wireless Bluetooth In Ear Earphones (Mint Pink, In the Ear)","₹1,990",959,boAt,103 Wireless-cr,Mint Pink,In Ear,Wireless
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
Jabra Evolve 75,"₹44,500","42,500",Jabra,Evolve 75,black,Over Ear,Wireless
boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),"₹1,290",449,boAt,Bassheads,Charcoal Black,In Ear,3.5 mm Jack
"Zebronics Zeb-Sound Bomb 3 TWS In Ear Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver,Built in Microphone and Type C(White)","₹3,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (White),White,In Ear,Wireless
"Boult Audio Airbass Propods X Bluetooth Truly Wireless in Ear Earbuds with Mic, 32H Playtime, Fast Charging Type-C, Ipx5 Water Resistant, Touch Controls and Voice Assistant (Black)","₹5,999","1,299",Boult Audio,AirBass,Black,In Ear,Wireless
"Meyaar Made in India Series Bulk Earbuds Headphones 10 Pack Earphones with Comfortable Silicone Ear-Bud for School Classroom Students Kids and Adult Individually Bagged (10Pack,Mix 8 Colors)",₹999,499,Meyaar,Al-pinoo-10pack-Colorful,Multicolor,In Ear,wired usb
"Meyaar SP-999 Earbuds Headphones with Microphone 2 Pack, Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with All Smartphones, Fits All 3.5mm Interface Device",₹999,299,Meyaar,,Black White,In Ear,wired usb
"Noise Buds Vs104 Bluetooth Truly Wireless in Ear Earbuds with Mic, 30-Hours of Playtime, Instacharge (Charcoal Black) & ColorFit Pulse Spo2 Smart Watch with 10 Days Battery Life",,,Noise,,Black,In Ear,Wireless
"ZEBRONICS Zeb-Sound Bomb 3 TWS Earbuds with Bluetooth v5.2, up to 12H Backup, Flash Connect, Splash Proof, Voice Assistant, stem Touch Control, 13mm Driver, Built in Microphone and Type C(Red)","₹2,499",799,ZEBRONICS,Zeb - Sound Bomb 3 (Red),Red,In Ear,Wireless
Skullcandy Jib Plus Wireless Bluetooth in Ear Earphone with Mic (Pure Mint),"₹4,599","1,499",Skullcandy,Jib Plus,Pure Mint,In Ear,Bluetooth
Meyaar SPN Edition Wired Durable Metal Earphones Earbuds with Microphone with Noise Isolating Earphones Earbuds with Remote & Mic Headset Stereo Headphones for Android & iOS (Metallic White),₹999,129,Meyaar,,Metallic White,In Ear,wired usb
"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","₹3,195","2,490",Logitech,l1,Black,Over Ear,Wired
Zebronics Zeb-Calyx Wired in Ear Earphones with Mic (Black) & Zeb-Bro Wired Earphone (White),,,ZEBRONICS,,"White, Black",In Ear,Wired
"Boult Audio Maverick Bluetooth Truly Wireless in Ear Earbuds with 35H Playtime, Quad Mic ENC, 45ms Xtreme Low Latency, Gaming LEDs, 10mm Bass Drivers, Type-C Fast Charging Bluetooth 5.3 TWS Ear Buds","₹4,499","1,799",Boult Audio,AirBass,Black,In Ear,Wireless
"Meyaar Beex Abhinandan Series Wired Handsfree Stereo Earphones in-Ear Headphones Bass Earbuds, Headset with Mic (2 Pack| White)",₹999,249,Meyaar,Meyaar,White,In Ear,Wired
"Portronics Conch 50 in-Ear Wired Earphone with Mic, 3.5mm Audio Jack(Grey)",₹499,399,Portronics,Conch 50,Grey,In Ear,Wired
Skullcandy Rail S2LEZ-J569 in-Ear Wired Earphones Without Mic (Royal Navy),₹899,367,Skullcandy,Rail,Royal Navy,In Ear,Wired
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
"Boult Audio AirBass Propods X TWS Earbuds, 32H Playtime, Fast Charging Type-C, IPX5 Water Resistant, Touch Controls and Voice Assistant (White)","₹5,999","1,299",Boult Audio,AirBass,White,In Ear,Wireless
"boAt BassHeads 100 Delhi Capitals Edition Wired in Ear Earphones with Super Extra Bass, with mic, Hawk Inspired Design and Perfect Length Cable with mic (DC Blue)","₹1,499",474,boAt,Bassheads 100,DC Blue,In Ear,Wired
"boAt Rockerz 550 Bluetooth Wireless Over Ear Headphones with Mic Upto 20 Hours Playback & Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, Padded Ear Cushions(Luscious Black)",,"1,999",boAt,,Black,"Over Ear, On Ear",Wireless
"Jabra Evolve 75 Stereo Wireless Bluetooth Headset with Charging Stand - World-Class Speakers, Active Noise-Cancelling Microphone and All Day Battery, UC Optimized (New)","₹1,00,762","75,762",Jabra,,Clear,On Ear,"Wireless, Wired"
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
"boAt Airdopes 141 True Wireless Earbuds with 42H Playtime, Beast™,Bold Black & Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0",,,boAt,,Black,On Ear,Wireless
"Wings Sling100, Bluetooth 5.1 Wireless Neckband in Ear Earphones, Environmental Noise Cancellation, Vibration Alert 20 Hours Playtime - Teal, (WL-SLING100-TEAL)","₹2,499","1,221",Wings,,Teal,In Ear,Wireless
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback(Luscious Black) & Rockerz 255 Pro+ in-Ear Bluetooth Neckband & Rockerz 255 Pro+ in-Ear Bluetooth Neckband",,"1,399",boAt,,Luscious Black,On Ear,Wireless
Jabra Evolve 40 MS Wired Bluetooth On Ear Headphone with Mic (Black),"₹15,066","10,450",Jabra,Jabra EVOLVE 40 MS Stereo wired USB headset,Black,On Ear,USB
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
Zebronics Zeb-Calyx Wired in Ear Earphones with Mic (Black),₹399,149,ZEBRONICS,Zeb-Calyx,black,In Ear,Wired
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Silver Sterling)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Sterling Silver,Over Ear,Bluetooth 5.0
boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),"₹1,490",599,boAt,Bassheads 242,Blue,In Ear,3.5 mm Jack
